OSEBuildingID,BuildingType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),PrimaryProperty,LargestPropertyUseTypeGFA,SecondLargest,SecondLargestPropertyUseTypeGFA,ThirdLargest,ThirdLargestPropertyUseTypeGFA,NumberPropertyUseType,harvesine_distance,ENERGYSTARScore,SiteEnergyUse(kBtu)
19697,NONRESIDENTIAL,NORTH,93,1.0,2,0,21462,OTHER SERVICES AND FACILITIES,25778.0,OFFICE AND BUSINESS,200.0,UNDEFINED,,2,5.361885928209716,,1114384.625
19728,SPS-DISTRICT K-12,NORTHWEST,86,1.0,2,0,47602,EDUCATION,46066.0,UNDEFINED,,UNDEFINED,,1,5.554965002321467,78.0,2249592.5
19730,NONRESIDENTIAL,NORTHWEST,99,1.0,2,0,28072,OTHER SERVICES AND FACILITIES,23835.0,UNDEFINED,,UNDEFINED,,1,5.002035094591008,,1362523.0
19742,NONRESIDENTIAL,DOWNTOWN,61,1.0,2,0,31020,FOOD AND BEVERAGE,31020.0,UNDEFINED,,UNDEFINED,,1,0.9899981099410703,,4970047.0
19743,NONRESIDENTIAL,DOWNTOWN,99,1.0,2,0,21600,OFFICE AND BUSINESS,14400.0,RESIDENTIAL AND HOUSING,7200.0,UNDEFINED,,2,0.9991212908927394,,1636649.125
19747,NONRESIDENTIAL,DOWNTOWN,42,1.0,5,13320,48505,OFFICE AND BUSINESS,37993.0,OFFICE AND BUSINESS,3547.0,UNDEFINED,,2,1.1111922097039921,59.0,4322873.0
19750,NONRESIDENTIAL,DOWNTOWN,74,1.0,3,0,64630,OFFICE AND BUSINESS,64630.0,UNDEFINED,,UNDEFINED,,1,1.1730820032156424,96.0,1408291.375
19752,NONRESIDENTIAL,DOWNTOWN,68,1.0,2,0,20920,OTHER SERVICES AND FACILITIES,20920.0,UNDEFINED,,UNDEFINED,,1,1.123007352130528,15.0,1042108.5
19766,NONRESIDENTIAL,SOUTHWEST,90,1.0,2,0,22128,OTHER SERVICES AND FACILITIES,22128.0,UNDEFINED,,UNDEFINED,,1,4.332780709858748,94.0,608359.6875
19774,NONRESIDENTIAL,NORTHWEST,48,1.0,1,0,48139,RETAIL AND PERSONAL SERVICES,40000.0,UNDEFINED,,UNDEFINED,,1,8.389703181377039,98.0,859236.625
19787,NONRESIDENTIAL,SOUTHWEST,67,1.0,2,0,21364,OTHER SERVICES AND FACILITIES,15364.0,EDUCATION,6000.0,UNDEFINED,,2,3.764879468969427,86.0,965651.125
19833,NONRESIDENTIAL,DOWNTOWN,24,1.0,2,0,28923,EDUCATION,28800.0,UNDEFINED,,UNDEFINED,,1,0.7849707527633045,,439311.9063
